Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
ALS2_HUMAN	27.00	24.37	48	0.00310	30	2
1433B_HUMAN	8.00	7.22	77	0.00052	87	1
RAC1_HUMAN	340.00	306.85	2	0.03145	2	2
RAB5A_HUMAN	57.00	51.44	21	0.00549	15	2
ANXA5_HUMAN	1.00	0.90	850	0.00016	859	2
CASP_HUMAN	1.00	0.90	851	0.00016	860	2
CCND2_HUMAN	1.00	0.90	852	0.00016	861	2
FCER2_HUMAN	1.00	0.90	853	0.00016	862	2
FSTL1_HUMAN	1.00	0.90	854	0.00016	863	2
GD1L1_HUMAN	1.00	0.90	855	0.00016	864	2
GP2_HUMAN	1.00	0.90	856	0.00016	865	2
IPYR_HUMAN	2.00	1.81	484	0.00024	417	1
K0652_HUMAN	1.00	0.90	857	0.00016	866	2
K1C19_HUMAN	3.00	2.71	292	0.00027	325	1
KCC1A_HUMAN	3.00	2.71	293	0.00030	262	1
MFAP3_HUMAN	1.00	0.90	858	0.00016	867	2
MIOX_HUMAN	1.00	0.90	860	0.00016	869	2
PALM_HUMAN	1.00	0.90	859	0.00016	868	2
PGTB_HUMAN	1.00	0.90	862	0.00016	871	2
PPP6_HUMAN	1.00	0.90	861	0.00016	870	2
RA51B_HUMAN	1.00	0.90	864	0.00016	873	2
SDC3_HUMAN	1.00	0.90	863	0.00016	872	2
SELPL_HUMAN	1.00	0.90	866	0.00016	875	2
SNX16_HUMAN	1.00	0.90	865	0.00016	874	2
TGM2_HUMAN	2.00	1.81	486	0.00022	500	1
TR10B_HUMAN	2.00	1.81	485	0.00024	418	1
TXND5_HUMAN	1.00	0.90	868	0.00016	877	2
WDR39_HUMAN	1.00	0.90	867	0.00016	876	2
APAF_HUMAN	33.00	29.78	41	0.00225	38	1
B2CL1_HUMAN	10.00	9.03	63	0.00066	68	1
BCLX_HUMAN	45.00	40.61	28	0.00308	31	1
CASP9_HUMAN	60.00	54.15	19	0.00400	25	1
MTNB_HUMAN	1.00	0.90	869	0.00012	2257	1
PP1A_HUMAN	10.00	9.03	64	0.00062	74	1
TRIA1_HUMAN	2.00	1.81	487	0.00020	661	1
CYC_HUMAN	46.00	41.52	27	0.00340	28	1
XIAP_HUMAN	6.00	5.42	122	0.00043	111	1
CASP8_HUMAN	10.00	9.03	65	0.00067	66	1
CASP3_HUMAN	183.00	165.16	4	0.01416	5	1
CASP7_HUMAN	6.00	5.42	121	0.00043	114	1
HIP1_HUMAN	3.00	2.71	294	0.00023	442	1
FEM1B_HUMAN	1.00	0.90	870	0.00012	2258	1
HSP74_HUMAN	9.00	8.12	72	0.00067	63	1
HS90A_HUMAN	9.00	8.12	73	0.00067	64	1
