Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
ALS2_HUMAN	27.00	21.87	48	0.00252	29	2	-19.0	0.3958333333333333
1433B_HUMAN	8.00	6.48	77	0.00040	88	1	11.0	0.14285714285714285
RAC1_HUMAN	340.00	275.40	2	0.02539	2	2	0.0	0.0
RAB5A_HUMAN	57.00	46.17	21	0.00444	14	2	-7.0	0.3333333333333333
ANXA5_HUMAN	1.00	0.81	850	0.00013	850	2	0.0	0.0
CASP_HUMAN	1.00	0.81	851	0.00013	851	2	0.0	0.0
CCND2_HUMAN	1.00	0.81	852	0.00013	852	2	0.0	0.0
FCER2_HUMAN	1.00	0.81	853	0.00013	853	2	0.0	0.0
FSTL1_HUMAN	1.00	0.81	854	0.00013	854	2	0.0	0.0
GD1L1_HUMAN	1.00	0.81	855	0.00013	855	2	0.0	0.0
GP2_HUMAN	1.00	0.81	856	0.00013	856	2	0.0	0.0
IPYR_HUMAN	2.00	1.62	484	0.00020	407	1	-77.0	0.1590909090909091
K0652_HUMAN	1.00	0.81	857	0.00013	857	2	0.0	0.0
K1C19_HUMAN	3.00	2.43	292	0.00022	330	1	38.0	0.13013698630136986
KCC1A_HUMAN	3.00	2.43	293	0.00025	253	1	-40.0	0.13651877133105803
MFAP3_HUMAN	1.00	0.81	858	0.00013	858	2	0.0	0.0
MIOX_HUMAN	1.00	0.81	860	0.00013	860	2	0.0	0.0
PALM_HUMAN	1.00	0.81	859	0.00013	859	2	0.0	0.0
PGTB_HUMAN	1.00	0.81	862	0.00013	862	2	0.0	0.0
PPP6_HUMAN	1.00	0.81	861	0.00013	861	2	0.0	0.0
RA51B_HUMAN	1.00	0.81	864	0.00013	864	2	0.0	0.0
SDC3_HUMAN	1.00	0.81	863	0.00013	863	2	0.0	0.0
SELPL_HUMAN	1.00	0.81	866	0.00013	866	2	0.0	0.0
SNX16_HUMAN	1.00	0.81	865	0.00013	865	2	0.0	0.0
TGM2_HUMAN	2.00	1.62	486	0.00018	495	1	9.0	0.018518518518518517
TR10B_HUMAN	2.00	1.62	485	0.00020	408	1	-77.0	0.15876288659793814
TXND5_HUMAN	1.00	0.81	868	0.00013	868	2	0.0	0.0
WDR39_HUMAN	1.00	0.81	867	0.00013	867	2	0.0	0.0
APAF_HUMAN	33.00	26.73	41	0.00174	39	1	-2.0	0.04878048780487805
B2CL1_HUMAN	10.00	8.10	63	0.00051	69	1	6.0	0.09523809523809523
BCLX_HUMAN	45.00	36.45	28	0.00240	31	1	3.0	0.10714285714285714
CASP9_HUMAN	60.00	48.60	19	0.00309	25	1	6.0	0.3157894736842105
MTNB_HUMAN	1.00	0.81	869	0.00010	2257	1	1388.0	1.5972382048331415
PP1A_HUMAN	10.00	8.10	64	0.00048	76	1	12.0	0.1875
TRIA1_HUMAN	2.00	1.62	487	0.00017	663	1	176.0	0.3613963039014374
CYC_HUMAN	46.00	37.26	27	0.00270	28	1	1.0	0.037037037037037035
XIAP_HUMAN	6.00	4.86	122	0.00034	112	1	-10.0	0.08196721311475409
CASP8_HUMAN	10.00	8.10	65	0.00051	66	1	1.0	0.015384615384615385
CASP3_HUMAN	183.00	148.23	4	0.01122	5	1	1.0	0.25
CASP7_HUMAN	6.00	4.86	121	0.00034	113	1	-8.0	0.06611570247933884
HIP1_HUMAN	3.00	2.43	294	0.00019	454	1	160.0	0.54421768707483
FEM1B_HUMAN	1.00	0.81	870	0.00010	2258	1	1388.0	1.5954022988505747
HSP74_HUMAN	9.00	7.29	72	0.00052	62	1	-10.0	0.1388888888888889
HS90A_HUMAN	9.00	7.29	73	0.00052	63	1	-10.0	0.136986301369863
CASP4_HUMAN	3.00	2.43	296	0.00020	427	1	131.0	0.44256756756756754
NALP1_HUMAN	4.00	3.24	203	0.00023	280	1	77.0	0.3793103448275862
HSP71_HUMAN	6.00	4.86	123	0.00032	129	1	6.0	0.04878048780487805
AVEN_HUMAN	3.00	2.43	295	0.00019	465	1	170.0	0.576271186440678
BCL2_HUMAN	137.00	110.97	8	0.00746	9	1	1.0	0.125
TOP1_HUMAN	3.00	2.43	297	0.00021	351	1	54.0	0.18181818181818182
UACA_HUMAN	1.00	0.81	871	0.00010	2259	1	1388.0	1.5935706084959815
B2L10_HUMAN	5.00	4.05	149	0.00027	207	1	58.0	0.38926174496644295
BIRC2_HUMAN	6.00	4.86	124	0.00034	109	1	-15.0	0.12096774193548387
E2F7_HUMAN	1.00	0.81	873	0.00010	2261	1	1388.0	1.5899198167239403
TFDP1_HUMAN	2.00	1.62	488	0.00017	664	1	176.0	0.36065573770491804
TFDP2_HUMAN	1.00	0.81	872	0.00010	2260	1	1388.0	1.591743119266055
BAXA_HUMAN	8.00	6.48	78	0.00041	85	1	7.0	0.08974358974358974
BAX_HUMAN	83.00	67.23	15	0.00450	13	1	-2.0	0.13333333333333333
CASP6_HUMAN	4.00	3.24	204	0.00025	238	1	34.0	0.16666666666666666
P53_HUMAN	753.00	609.93	1	0.06173	1	1	0.0	0.0
HSPB1_HUMAN	8.00	6.48	79	0.00047	78	1	-1.0	0.012658227848101266
DBLOH_HUMAN	4.00	3.24	206	0.00023	277	1	71.0	0.3446601941747573
BAD_HUMAN	62.00	50.22	18	0.00317	24	1	6.0	0.3333333333333333
1433S_HUMAN	4.00	3.24	205	0.00025	251	1	46.0	0.22439024390243903
B2CL2_HUMAN	5.00	4.05	150	0.00029	162	1	12.0	0.08
B2LA1_HUMAN	3.00	2.43	300	0.00019	472	1	172.0	0.5733333333333334
EWS_HUMAN	2.00	1.62	489	0.00017	675	1	186.0	0.3803680981595092
1433E_HUMAN	4.00	3.24	207	0.00025	236	1	29.0	0.14009661835748793
1433G_HUMAN	6.00	4.86	125	0.00035	103	1	-22.0	0.176
PAK1_HUMAN	3.00	2.43	298	0.00021	394	1	96.0	0.3221476510067114
KS6A5_HUMAN	3.00	2.43	299	0.00019	466	1	167.0	0.5585284280936454
AKT1_HUMAN	12.00	9.72	56	0.00061	57	1	1.0	0.017857142857142856
KS6A1_HUMAN	1.00	0.81	875	0.00010	2270	1	1395.0	1.5942857142857143
BCLW_HUMAN	2.00	1.62	491	0.00014	815	1	324.0	0.659877800407332
BID_HUMAN	66.00	53.46	17	0.00356	21	1	4.0	0.23529411764705882
CANB1_HUMAN	53.00	42.93	25	0.00213	33	1	8.0	0.32
PP2BC_HUMAN	39.00	31.59	35	0.00152	45	1	10.0	0.2857142857142857
PIM3_HUMAN	1.00	0.81	874	0.00010	2269	1	1395.0	1.5961098398169336
KPCI_HUMAN	3.00	2.43	301	0.00020	398	1	97.0	0.3222591362126246
PAK7_HUMAN	2.00	1.62	490	0.00016	705	1	215.0	0.4387755102040816
PIM1_HUMAN	1.00	0.81	877	0.00010	2272	1	1395.0	1.5906499429874572
KS6A2_HUMAN	1.00	0.81	876	0.00010	2271	1	1395.0	1.5924657534246576
MCL1_HUMAN	6.00	4.86	126	0.00031	138	1	12.0	0.09523809523809523
BFL1_HUMAN	2.00	1.62	493	0.00014	816	1	323.0	0.6551724137931034
SUMO2_HUMAN	4.00	3.24	209	0.00028	184	1	-25.0	0.11961722488038277
1433T_HUMAN	4.00	3.24	208	0.00025	252	1	44.0	0.21153846153846154
MK08_HUMAN	10.00	8.10	66	0.00052	65	1	-1.0	0.015151515151515152
KAP0_HUMAN	2.00	1.62	492	0.00016	722	1	230.0	0.46747967479674796
RAF1_HUMAN	7.00	5.67	96	0.00033	116	1	20.0	0.20833333333333334
HRK_HUMAN	3.00	2.43	302	0.00019	473	1	171.0	0.5662251655629139
MK03_HUMAN	8.00	6.48	80	0.00040	87	1	7.0	0.0875
1433Z_HUMAN	5.00	4.05	152	0.00029	161	1	9.0	0.05921052631578947
S10AA_HUMAN	1.00	0.81	878	0.00010	2273	1	1395.0	1.5888382687927107
SYUA_HUMAN	5.00	4.05	151	0.00029	165	1	14.0	0.09271523178807947
1433F_HUMAN	2.00	1.62	494	0.00014	817	1	323.0	0.6538461538461539
PIM2_HUMAN	1.00	0.81	879	0.00010	2274	1	1395.0	1.5870307167235496
B2L11_HUMAN	4.00	3.24	212	0.00023	275	1	63.0	0.2971698113207547
WASF1_HUMAN	2.00	1.62	495	0.00016	706	1	211.0	0.4262626262626263
MP2K5_HUMAN	1.00	0.81	881	0.00010	2276	1	1395.0	1.583427922814983
TERA_HUMAN	4.00	3.24	211	0.00027	197	1	-14.0	0.06635071090047394
KAPCA_HUMAN	5.00	4.05	153	0.00028	182	1	29.0	0.1895424836601307
MK09_HUMAN	3.00	2.43	303	0.00022	306	1	3.0	0.009900990099009901
PRDX2_HUMAN	1.00	0.81	880	0.00010	2275	1	1395.0	1.5852272727272727
CDN1A_HUMAN	4.00	3.24	210	0.00025	237	1	27.0	0.12857142857142856
PP2BA_HUMAN	89.00	72.09	14	0.00432	16	1	2.0	0.14285714285714285
NAF1_HUMAN	3.00	2.43	304	0.00019	457	1	153.0	0.5032894736842105
CANB2_HUMAN	30.00	24.30	44	0.00104	52	1	8.0	0.18181818181818182
CHP1_HUMAN	38.00	30.78	38	0.00146	47	1	9.0	0.23684210526315788
CHP2_HUMAN	34.00	27.54	40	0.00119	50	1	10.0	0.25
KAP1_HUMAN	1.00	0.81	883	0.00010	2278	1	1395.0	1.579841449603624
PRKX_HUMAN	1.00	0.81	882	0.00010	2277	1	1395.0	1.5816326530612246
NGF_HUMAN	4.00	3.24	213	0.00026	226	1	13.0	0.06103286384976526
KS6A3_HUMAN	5.00	4.05	159	0.00026	231	1	72.0	0.4528301886792453
MK01_HUMAN	13.00	10.53	53	0.00063	56	1	3.0	0.05660377358490566
TNR16_HUMAN	5.00	4.05	158	0.00034	107	1	-51.0	0.3227848101265823
BBC3B_HUMAN	5.00	4.05	157	0.00029	164	1	7.0	0.044585987261146494
BBC3_HUMAN	5.00	4.05	156	0.00029	163	1	7.0	0.04487179487179487
BAK_HUMAN	5.00	4.05	155	0.00029	160	1	5.0	0.03225806451612903
ERN1_HUMAN	5.00	4.05	154	0.00031	144	1	-10.0	0.06493506493506493
KCNA3_HUMAN	1.00	0.81	884	0.00011	2217	1	1333.0	1.507918552036199
MOAP1_HUMAN	3.00	2.43	306	0.00019	455	1	149.0	0.4869281045751634
SHLB1_HUMAN	1.00	0.81	887	0.00011	2220	1	1333.0	1.5028184892897407
VDAC1_HUMAN	3.00	2.43	305	0.00019	450	1	145.0	0.47540983606557374
XRCC6_HUMAN	2.00	1.62	496	0.00017	639	1	143.0	0.28830645161290325
ADT1_HUMAN	1.00	0.81	886	0.00011	2219	1	1333.0	1.5045146726862302
APR_HUMAN	4.00	3.24	214	0.00025	245	1	31.0	0.14485981308411214
CRYAA_HUMAN	1.00	0.81	885	0.00011	2218	1	1333.0	1.5062146892655368
CRYAB_HUMAN	5.00	4.05	160	0.00031	146	1	-14.0	0.0875
R144B_HUMAN	3.00	2.43	310	0.00021	361	1	51.0	0.16451612903225807
PARK7_HUMAN	5.00	4.05	163	0.00031	140	1	-23.0	0.1411042944785276
UHRF2_HUMAN	2.00	1.62	500	0.00017	641	1	141.0	0.282
CH60_HUMAN	4.00	3.24	215	0.00025	235	1	20.0	0.09302325581395349
TOM40_HUMAN	25.00	20.25	50	0.00231	32	1	-18.0	0.36
ASC_HUMAN	3.00	2.43	311	0.00021	352	1	41.0	0.13183279742765272
NOL3_HUMAN	1.00	0.81	888	0.00011	2221	1	1333.0	1.5011261261261262
UBC_HUMAN	28.00	22.68	46	0.00135	48	1	2.0	0.043478260869565216
MYC_HUMAN	5.00	4.05	161	0.00030	156	1	-5.0	0.031055900621118012
PRS6A_HUMAN	3.00	2.43	307	0.00021	376	1	69.0	0.2247557003257329
HDAC6_HUMAN	2.00	1.62	497	0.00016	721	1	224.0	0.4507042253521127
PRS8_HUMAN	3.00	2.43	308	0.00021	377	1	69.0	0.22402597402597402
TOM22_HUMAN	2.00	1.62	499	0.00018	549	1	50.0	0.10020040080160321
JMY_HUMAN	2.00	1.62	498	0.00017	640	1	142.0	0.285140562248996
TF65_HUMAN	5.00	4.05	162	0.00028	174	1	12.0	0.07407407407407407
ASPP2_HUMAN	3.00	2.43	309	0.00021	370	1	61.0	0.19741100323624594
ASPP1_HUMAN	1.00	0.81	891	0.00011	2224	1	1333.0	1.4960718294051627
EP300_HUMAN	4.00	3.24	218	0.00026	214	1	-4.0	0.01834862385321101
CBP_HUMAN	7.00	5.67	97	0.00040	89	1	-8.0	0.08247422680412371
SP1_HUMAN	5.00	4.05	164	0.00030	153	1	-11.0	0.06707317073170732
PO4F1_HUMAN	1.00	0.81	892	0.00011	2225	1	1333.0	1.4943946188340806
CLUS_HUMAN	2.00	1.62	502	0.00014	822	1	320.0	0.6374501992031872
MAX_HUMAN	4.00	3.24	219	0.00026	232	1	13.0	0.0593607305936073
PO4F2_HUMAN	1.00	0.81	893	0.00011	2226	1	1333.0	1.4927211646136618
HUNIN_HUMAN	1.00	0.81	889	0.00011	2222	1	1333.0	1.499437570303712
BI1_HUMAN	3.00	2.43	312	0.00019	462	1	150.0	0.4807692307692308
XRCC5_HUMAN	2.00	1.62	501	0.00017	642	1	141.0	0.281437125748503
KPCE_HUMAN	4.00	3.24	216	0.00021	362	1	146.0	0.6759259259259259
JUN_HUMAN	11.00	8.91	60	0.00055	59	1	-1.0	0.016666666666666666
UVRAG_HUMAN	1.00	0.81	890	0.00011	2223	1	1333.0	1.497752808988764
PIN1_HUMAN	4.00	3.24	217	0.00026	215	1	-2.0	0.009216589861751152
GSK3B_HUMAN	3.00	2.43	313	0.00022	343	1	30.0	0.09584664536741214
TOM20_HUMAN	3.00	2.43	315	0.00022	340	1	25.0	0.07936507936507936
APRIO_HUMAN	2.00	1.62	504	0.00018	537	1	33.0	0.06547619047619048
PRIO_HUMAN	3.00	2.43	314	0.00022	335	1	21.0	0.06687898089171974
IRF3_HUMAN	1.00	0.81	895	0.00011	2227	1	1332.0	1.488268156424581
SIR1_HUMAN	2.00	1.62	505	0.00017	643	1	138.0	0.2732673267326733
BRD7_HUMAN	3.00	2.43	317	0.00021	359	1	42.0	0.13249211356466878
PK3CD_HUMAN	4.00	3.24	222	0.00025	243	1	21.0	0.0945945945945946
CTBP1_HUMAN	3.00	2.43	316	0.00022	314	1	-2.0	0.006329113924050633
PK3CA_HUMAN	6.00	4.86	127	0.00033	117	1	-10.0	0.07874015748031496
PK3CB_HUMAN	4.00	3.24	221	0.00025	242	1	21.0	0.09502262443438914
PK3CG_HUMAN	4.00	3.24	220	0.00025	241	1	21.0	0.09545454545454546
TNFA_HUMAN	160.00	129.60	6	0.01017	6	1	0.0	0.0
PARG_HUMAN	2.00	1.62	503	0.00015	744	1	241.0	0.47912524850894633
GPX1_HUMAN	41.00	33.21	33	0.00336	22	1	-11.0	0.3333333333333333
VEGFA_HUMAN	148.00	119.88	7	0.00964	7	1	0.0	0.0
BECN1_HUMAN	1.00	0.81	894	0.00011	2193	1	1299.0	1.4530201342281879
BIK_HUMAN	2.00	1.62	509	0.00015	797	1	288.0	0.5658153241650294
BMF_HUMAN	1.00	0.81	901	0.00011	2199	1	1298.0	1.4406215316315205
BNIPL_HUMAN	1.00	0.81	899	0.00011	2197	1	1298.0	1.4438264738598443
RAD9A_HUMAN	1.00	0.81	900	0.00011	2198	1	1298.0	1.4422222222222223
SEC20_HUMAN	1.00	0.81	903	0.00011	2201	1	1298.0	1.4374307862679956
SMN_HUMAN	173.00	140.13	5	0.01606	4	1	-1.0	0.2
SPNS1_HUMAN	2.00	1.62	510	0.00015	759	1	249.0	0.48823529411764705
BFAR_HUMAN	1.00	0.81	902	0.00011	2200	1	1298.0	1.4390243902439024
PRKN2_HUMAN	4.00	3.24	223	0.00024	256	1	33.0	0.14798206278026907
TPIP1_HUMAN	2.00	1.62	508	0.00017	633	1	125.0	0.24606299212598426
BIM_HUMAN	2.00	1.62	506	0.00015	795	1	289.0	0.5711462450592886
BAG1_HUMAN	2.00	1.62	507	0.00015	796	1	289.0	0.5700197238658777
AMRA1_HUMAN	1.00	0.81	897	0.00011	2195	1	1298.0	1.4470457079152732
PPID_HUMAN	1.00	0.81	898	0.00011	2196	1	1298.0	1.44543429844098
CPT1A_HUMAN	1.00	0.81	896	0.00011	2194	1	1298.0	1.4486607142857142
