Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
ALS2_HUMAN	27.00	21.87	48	13.95957	49	2	1.0	0.020833333333333332
1433B_HUMAN	8.00	6.48	77	4.13617	88	1	11.0	0.14285714285714285
RAC1_HUMAN	340.00	275.40	2	175.78723	2	2	0.0	0.0
RAB5A_HUMAN	57.00	46.17	21	29.47021	21	2	0.0	0.0
ANXA5_HUMAN	1.00	0.81	850	0.51702	1644	2	794.0	0.9341176470588235
CASP_HUMAN	1.00	0.81	851	0.51702	1645	2	794.0	0.9330199764982373
CCND2_HUMAN	1.00	0.81	852	0.51702	1646	2	794.0	0.931924882629108
FCER2_HUMAN	1.00	0.81	853	0.51702	1647	2	794.0	0.9308323563892146
FSTL1_HUMAN	1.00	0.81	854	0.51702	1648	2	794.0	0.9297423887587822
GD1L1_HUMAN	1.00	0.81	855	0.51702	1649	2	794.0	0.928654970760234
GP2_HUMAN	1.00	0.81	856	0.51702	1650	2	794.0	0.927570093457944
IPYR_HUMAN	2.00	1.62	484	1.03404	785	1	301.0	0.621900826446281
K0652_HUMAN	1.00	0.81	857	0.51702	1651	2	794.0	0.926487747957993
K1C19_HUMAN	3.00	2.43	292	1.55106	323	1	31.0	0.10616438356164383
KCC1A_HUMAN	3.00	2.43	293	1.55106	358	1	65.0	0.22184300341296928
MFAP3_HUMAN	1.00	0.81	858	0.51702	1652	2	794.0	0.9254079254079254
MIOX_HUMAN	1.00	0.81	860	0.51702	1654	2	794.0	0.9232558139534883
PALM_HUMAN	1.00	0.81	859	0.51702	1653	2	794.0	0.9243306169965075
PGTB_HUMAN	1.00	0.81	862	0.51702	1656	2	794.0	0.9211136890951276
PPP6_HUMAN	1.00	0.81	861	0.51702	1655	2	794.0	0.9221835075493612
RA51B_HUMAN	1.00	0.81	864	0.51702	1658	2	794.0	0.9189814814814815
SDC3_HUMAN	1.00	0.81	863	0.51702	1657	2	794.0	0.9200463499420626
SELPL_HUMAN	1.00	0.81	866	0.51702	1660	2	794.0	0.9168591224018475
SNX16_HUMAN	1.00	0.81	865	0.51702	1659	2	794.0	0.9179190751445087
TGM2_HUMAN	2.00	1.62	486	1.03404	584	1	98.0	0.20164609053497942
TR10B_HUMAN	2.00	1.62	485	1.03404	786	1	301.0	0.6206185567010309
TXND5_HUMAN	1.00	0.81	868	0.51702	1662	2	794.0	0.9147465437788018
WDR39_HUMAN	1.00	0.81	867	0.51702	1661	2	794.0	0.9158016147635525
APAF_HUMAN	33.00	26.73	41	17.06170	41	1	0.0	0.0
B2CL1_HUMAN	10.00	8.10	63	5.17021	70	1	7.0	0.1111111111111111
BCLX_HUMAN	45.00	36.45	28	23.26596	29	1	1.0	0.03571428571428571
CASP9_HUMAN	60.00	48.60	19	31.02128	20	1	1.0	0.05263157894736842
MTNB_HUMAN	1.00	0.81	869	0.51702	1828	1	959.0	1.1035673187571922
PP1A_HUMAN	10.00	8.10	64	5.17021	71	1	7.0	0.109375
TRIA1_HUMAN	2.00	1.62	487	1.03404	818	1	331.0	0.6796714579055442
CYC_HUMAN	46.00	37.26	27	23.78298	27	1	0.0	0.0
XIAP_HUMAN	6.00	4.86	122	3.10213	132	1	10.0	0.08196721311475409
CASP8_HUMAN	10.00	8.10	65	5.17021	67	1	2.0	0.03076923076923077
CASP3_HUMAN	183.00	148.23	4	94.61489	4	1	0.0	0.0
CASP7_HUMAN	6.00	4.86	121	3.10213	127	1	6.0	0.049586776859504134
HIP1_HUMAN	3.00	2.43	294	1.55106	363	1	69.0	0.23469387755102042
FEM1B_HUMAN	1.00	0.81	870	0.51702	1829	1	959.0	1.1022988505747127
HSP74_HUMAN	9.00	7.29	72	4.65319	76	1	4.0	0.05555555555555555
HS90A_HUMAN	9.00	7.29	73	4.65319	74	1	1.0	0.0136986301369863
CASP4_HUMAN	3.00	2.43	296	1.55106	365	1	69.0	0.23310810810810811
NALP1_HUMAN	4.00	3.24	203	2.06809	261	1	58.0	0.2857142857142857
HSP71_HUMAN	6.00	4.86	123	3.10213	148	1	25.0	0.2032520325203252
AVEN_HUMAN	3.00	2.43	295	1.55106	422	1	127.0	0.43050847457627117
