Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
TP53BP1	1.00	0.90	48	0.00205	151	2
TP53	29.00	26.17	2	0.04633	2	2
USP7	1.00	0.90	49	0.00205	152	2
CHEK2	1.00	0.90	50	0.00205	153	2
RCHY1	1.00	0.90	51	0.00205	154	2
RRM2B	1.00	0.90	52	0.00205	155	2
TP53BP2	1.00	0.90	53	0.00205	156	2
MDM2	1.00	0.90	54	0.00205	157	2
HIPK2	2.00	1.81	30	0.00345	70	2
CUL9	1.00	0.90	55	0.00205	158	2
E4F1	1.00	0.90	56	0.00205	159	2
RFWD2	1.00	0.90	57	0.00205	160	2
PERP	1.00	0.90	58	0.00205	161	2
C12orf5	1.00	0.90	59	0.00205	162	2
PPP1R13B	1.00	0.90	60	0.00205	163	2
DYRK2	1.00	0.90	61	0.00205	164	2
TP53RK	1.00	0.90	63	0.00205	166	2
PBK	1.00	0.90	62	0.00205	165	2
FBXO11	1.00	0.90	65	0.00205	168	2
TRIAP1	1.00	0.90	64	0.00205	167	2
PPM1D	1.00	0.90	67	0.00205	170	2
TAF1	1.00	0.90	66	0.00205	169	2
CUL7	1.00	0.90	69	0.00205	172	2
BANP	1.00	0.90	68	0.00205	171	2
AXIN1	1.00	0.90	71	0.00205	173	2
TOMM20	1.00	0.90	70	0.00394	28	18
TOMM40	1.00	0.90	72	0.00394	29	18
TNFRSF1B	16.00	14.44	4	0.01880	4	1
TRAF2	3.00	2.71	20	0.00365	64	1
ASB3	1.00	0.90	73	0.00171	190	1
TRADD	3.00	2.71	21	0.00365	65	1
TNFRSF1A	24.00	21.66	3	0.03059	3	1
FADD	1.00	0.90	76	0.00179	179	1
CASP8	1.00	0.90	77	0.00179	180	1
BAG4	1.00	0.90	74	0.00179	177	1
TRPC4AP	1.00	0.90	75	0.00179	178	1
BRE	1.00	0.90	78	0.00179	181	1
MADD	1.00	0.90	79	0.00179	182	1
RIPK1	3.00	2.71	22	0.00365	66	1
TNF	10.00	9.03	7	0.01133	7	1
DIF	3.00	2.71	24	0.00365	68	1
BIRC2	3.00	2.71	25	0.00365	69	1
LTA	2.00	1.81	31	0.00274	92	1
TRAF1	3.00	2.71	23	0.00365	67	1
NSMAF	1.00	0.90	81	0.00179	184	1
BIRC3	2.00	1.81	33	0.00274	94	1
LT	2.00	1.81	32	0.00274	93	1
TRAF3	1.00	0.90	80	0.00179	183	1
TNFAIP3	1.00	0.90	85	0.00179	185	1
ENSG00000228978	1.00	0.90	84	0.00171	191	1
CD40	1.00	0.90	83	0.00167	196	1
IL10	1.00	0.90	82	0.00167	195	1
ENSG00000226979	1.00	0.90	89	0.00171	193	1
FASLG	1.00	0.90	88	0.00179	187	1
ADAM17	1.00	0.90	87	0.00171	192	1
TRAF6	1.00	0.90	86	0.00179	186	1
ENSG00000204490	1.00	0.90	93	0.00171	194	1
SQSTM1	1.00	0.90	92	0.00179	189	1
MAP4K4	1.00	0.90	91	0.00179	188	1
UBC	1.00	0.90	90	0.00276	85	8
SOD1	3.00	2.71	26	0.00745	13	8
RNF19A	1.00	0.90	96	0.00276	87	8
CCS	1.00	0.90	95	0.00276	86	8
ABC17	1.00	0.90	94	0.00394	30	19
SLC1A2	1.00	0.90	101	0.00394	31	19
RAC1	30.00	27.07	1	0.05492	1	3
TIAM1	1.00	0.90	102	0.00224	115	3
PAK1	1.00	0.90	103	0.00224	116	3
ARHGDIA	1.00	0.90	97	0.00224	111	3
FLJ46592	1.00	0.90	98	0.00224	112	3
ARHGEF7	1.00	0.90	99	0.00224	113	3
BAIAP2	1.00	0.90	100	0.00224	114	3
VAV2	1.00	0.90	108	0.00224	121	3
ARHGEF4	1.00	0.90	109	0.00224	122	3
VAV3	1.00	0.90	110	0.00224	123	3
IQGAP2	1.00	0.90	111	0.00224	124	3
NGEF	1.00	0.90	104	0.00224	117	3
MCF2L	1.00	0.90	105	0.00224	118	3
MCF2	1.00	0.90	106	0.00224	119	3
BCR	1.00	0.90	107	0.00224	120	3
ARHGEF25	1.00	0.90	117	0.00224	130	3
RALBP1	1.00	0.90	116	0.00224	129	3
RACGAP1	1.00	0.90	119	0.00224	132	3
SYNJ2	1.00	0.90	118	0.00224	131	3
TIAM2	1.00	0.90	113	0.00224	126	3
PREX2	1.00	0.90	112	0.00224	125	3
ARHGAP9	1.00	0.90	115	0.00224	128	3
EPHA2	1.00	0.90	114	0.00224	127	3
ARHGEF6	1.00	0.90	125	0.00224	138	3
EFNA1	1.00	0.90	124	0.00224	137	3
RASGRF2	1.00	0.90	127	0.00224	140	3
FARP2	1.00	0.90	126	0.00224	139	3
DOCK7	1.00	0.90	121	0.00224	134	3
ARHGAP32	1.00	0.90	120	0.00224	133	3
PIP5K1C	1.00	0.90	123	0.00224	136	3
PIP5K1B	1.00	0.90	122	0.00224	135	3
EEA1	1.00	0.90	133	0.00247	108	6
RAB5A	6.00	5.42	11	0.01273	5	6
RABEP1	1.00	0.90	131	0.00247	106	6
RIN1	1.00	0.90	132	0.00247	107	6
USP6NL	1.00	0.90	129	0.00247	104	6
RABGEF1	1.00	0.90	130	0.00247	105	6
PRPH	2.00	1.81	34	0.00569	18	11
PRPH2	1.00	0.90	128	0.00306	73	11
NGF	1.00	0.90	139	0.00306	76	11
PPP3R2	1.00	0.90	140	0.00394	35	20
PLCG2	1.00	0.90	137	0.00394	34	20
PPP3CA	1.00	0.90	138	0.00306	75	12
PPP3R1	2.00	1.81	35	0.00569	19	12
PPP3CC	1.00	0.90	136	0.00306	74	12
NFATC2	1.00	0.90	134	0.00394	32	21
PPP3CB	1.00	0.90	135	0.00394	33	21
NEFL	1.00	0.90	146	0.00394	38	22
NEFM	1.00	0.90	145	0.00394	37	22
ATF2	2.00	1.81	36	0.00419	26	5
MAPK14	6.00	5.42	12	0.01080	8	5
MAP2K4	1.00	0.90	144	0.00221	143	5
FAM48A	1.00	0.90	143	0.00221	142	5
PTPRR	1.00	0.90	142	0.00221	141	5
EEF2K	1.00	0.90	141	0.00394	36	23
MAPK13	1.00	0.90	152	0.00394	39	23
MAP2K6	3.00	2.71	27	0.00655	17	13
MAPK12	1.00	0.90	151	0.00252	99	13
MAPK11	1.00	0.90	150	0.00245	110	5
TXN	1.00	0.90	149	0.00248	103	9
MAP3K5	4.00	3.61	16	0.00852	12	9
DAB2IP	1.00	0.90	148	0.00248	102	9
DAP6	1.00	0.90	147	0.00248	101	9
MAP3K4	1.00	0.90	161	0.00252	100	13
MAP2K3	2.00	1.81	37	0.00371	62	5
CCM2	2.00	1.81	38	0.00371	63	5
HRAS	1.00	0.90	162	0.00394	48	24
GRIN2D	1.00	0.90	164	0.00394	50	24
RASGRF1	1.00	0.90	163	0.00394	49	25
GRIN2C	1.00	0.90	166	0.00394	52	25
DLG4	1.00	0.90	165	0.00394	51	26
GRIN2B	1.00	0.90	154	0.00394	41	26
FYN	1.00	0.90	153	0.00394	40	27
GRIN2A	1.00	0.90	156	0.00394	43	27
PICK1	1.00	0.90	155	0.00394	42	28
GRIA2	1.00	0.90	158	0.00394	45	28
DLG1	1.00	0.90	157	0.00394	44	29
GRIA1	1.00	0.90	160	0.00394	47	29
GPX1	1.00	0.90	159	0.00394	46	30
GSR	1.00	0.90	172	0.00394	53	30
SELS	1.00	0.90	173	0.00306	80	14
DERL1	2.00	1.81	41	0.00569	22	14
VCP	1.00	0.90	174	0.00306	81	14
DAXX	5.00	4.51	13	0.00866	11	2
DMAP1	1.00	0.90	175	0.00216	144	2
MCRS1	1.00	0.90	176	0.00216	145	2
HIPK1	1.00	0.90	177	0.00216	146	2
APAF1	3.00	2.71	28	0.00745	14	10
CYCS	1.00	0.90	167	0.00276	88	10
CHP2	1.00	0.90	168	0.00306	77	15
SLC9A1	2.00	1.81	39	0.00569	20	15
CHP	1.00	0.90	169	0.00306	78	15
CASP9	1.00	0.90	170	0.00276	89	10
XIAP	1.00	0.90	171	0.00306	79	16
CASP3	2.00	1.81	40	0.00569	21	16
ACIN1	1.00	0.90	180	0.00306	82	16
CASP1	4.00	3.61	19	0.00921	10	7
IL18	1.00	0.90	179	0.00262	96	7
CARD8	1.00	0.90	178	0.00262	95	7
PYCARD	1.00	0.90	182	0.00262	98	7
CARD16	1.00	0.90	181	0.00262	97	7
BID	9.00	8.12	8	0.00699	15	4
BCL2L1	12.00	10.83	6	0.00949	9	4
BCL2L11	3.00	2.71	29	0.00276	91	4
BCL2	15.00	13.54	5	0.01252	6	4
BAD	7.00	6.32	10	0.00560	24	4
BBC3	4.00	3.61	17	0.00334	72	4
BAK1	4.00	3.61	18	0.00339	71	4
BAX	8.00	7.22	9	0.00682	16	4
MCL1	5.00	4.51	14	0.00403	27	4
BIK	2.00	1.81	42	0.00207	147	4
FKBP8	2.00	1.81	43	0.00207	148	4
HRK	2.00	1.81	44	0.00207	149	4
BCL2L2	5.00	4.51	15	0.00468	25	4
BAG1	1.00	0.90	191	0.00143	197	4
BMF	2.00	1.81	46	0.00207	150	4
BNIP3	1.00	0.90	193	0.00143	198	4
BCL2A1	2.00	1.81	45	0.00203	176	4
TP73	1.00	0.90	192	0.00205	175	2
RASSF1	1.00	0.90	185	0.00205	174	2
UACA	1.00	0.90	186	0.00276	90	10
ALS2	1.00	0.90	183	0.00247	109	6
