Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
RAC1	29.00	26.02	3	0.00981	3	1
WASL	3.00	2.83	158	0.00138	248	1
MAP2K3	11.00	9.82	23	0.00332	28	1
TRADD	10.00	9.00	29	0.00333	27	1
GNGT1	1.00	0.95	291	0.00226	97	22
GNAT1	1.00	0.95	292	0.00226	98	22
COL6A2	4.00	3.43	145	0.00171	186	14
COL1A1	5.00	4.46	101	0.00206	128	14
LPAR4	7.00	5.73	69	0.00169	191	23
LTB4R	9.00	7.47	44	0.00185	159	23
VEGFA	15.00	13.49	10	0.00572	9	1
MEF2A	4.00	3.53	140	0.00138	251	9
MAPK14	24.00	21.51	5	0.00791	5	9
PPP3CA	9.00	7.76	41	0.00349	26	10
PPP3R1	6.00	5.40	75	0.00223	103	10
UBC	44.00	41.51	1	0.01932	1	1
BRE	3.00	2.81	165	0.00179	170	1
CYCS	8.00	6.83	53	0.00254	64	10
NPBWR1	10.00	8.15	37	0.00229	93	2
CASR	19.00	15.74	9	0.00384	19	2
IL15	3.00	2.59	183	0.00154	222	3
IL4	6.00	5.54	72	0.00318	32	3
SHB	3.00	2.75	169	0.00181	166	17
PDGFRA	2.00	1.85	215	0.00179	168	17
TACR1	15.00	12.47	16	0.00290	46	2
TACR3	7.00	5.69	70	0.00151	227	2
NEFH	2.00	1.77	235	0.00114	283	15
NEFM	2.00	1.78	230	0.00114	282	15
CDC42	19.00	16.82	8	0.00594	8	1
LIPC	4.00	3.67	130	0.00224	100	11
APOB	6.00	5.50	74	0.00261	59	11
LIMK1	3.00	2.56	188	0.00121	268	1
CASP3	14.00	12.68	15	0.00454	14	1
IFNG	9.00	7.92	40	0.00374	20	3
TNFRSF1B	4.00	3.55	138	0.00172	183	1
EDN2	6.00	5.00	91	0.00149	231	2
TP53	37.00	34.57	2	0.01407	2	2
PAFAH1B1	4.00	3.32	148	0.00184	161	1
MMP14	2.00	1.65	254	0.00138	250	1
MMP16	1.00	0.82	379	0.00091	328	1
CXCR5	5.00	4.07	123	0.00143	240	2
C3	8.00	6.82	54	0.00248	66	2
CASP9	8.00	7.44	45	0.00264	57	1
