Node	Degree	R[0]	R[0] Rank	R[200]	Rank R[200]	Network_Id	Delta Rank((R[200]-R0))	Delta((R[200]-R0)/R0)
AKT1_HUMAN	7.00	5.99	65	4.25647	63	1	-2.0	-0.03076923076923077
CASP3_HUMAN	195.00	165.98	2	117.16271	2	1	0.0	0.0
ATF2_HUMAN	5.00	4.02	118	2.92492	116	11	-2.0	-0.01694915254237288
MK11_HUMAN	34.00	28.11	30	20.19992	28	18	-2.0	-0.06666666666666667
BAD_HUMAN	55.00	49.17	16	34.76296	16	1	0.0	0.0
KS6A5_HUMAN	3.00	3.00	167	2.04885	179	7	12.0	0.0718562874251497
BAG4_HUMAN	2.00	2.00	313	1.32180	368	1	55.0	0.1757188498402556
TNR1A_HUMAN	174.00	151.99	3	109.66048	3	2	0.0	0.0
BAP31_HUMAN	4.00	3.98	122	2.59167	138	1	16.0	0.13114754098360656
CASP1_HUMAN	63.00	52.08	13	36.59423	14	1	1.0	0.07692307692307693
BCL2_HUMAN	171.00	141.09	4	98.04567	4	1	0.0	0.0
BAK2_HUMAN	10.00	8.05	53	5.69833	52	1	-1.0	-0.018867924528301886
BI1_HUMAN	3.00	2.89	203	1.93355	214	1	11.0	0.054187192118226604
CANB1_HUMAN	15.00	14.44	39	10.26243	39	7	0.0	0.0
PP2AA_HUMAN	2.00	1.90	387	1.28026	413	1	26.0	0.06718346253229975
BCLX_HUMAN	97.00	82.55	8	57.84839	8	1	0.0	0.0
AVEN_HUMAN	3.00	3.00	168	1.90254	228	1	60.0	0.35714285714285715
B2L12_HUMAN	1.00	1.00	767	0.65676	947	1	180.0	0.23468057366362452
BNIP3_HUMAN	2.00	2.00	280	1.29428	395	1	115.0	0.4107142857142857
CYC_HUMAN	56.00	43.61	17	28.63152	17	1	0.0	0.0
BID_HUMAN	47.00	38.52	20	26.95627	18	1	-2.0	-0.1
BNI3L_HUMAN	3.00	2.83	212	1.90790	223	1	11.0	0.05188679245283019
PP2BC_HUMAN	1.00	1.00	588	0.73154	587	1	-1.0	-0.0017006802721088435
IL1F7_HUMAN	1.00	0.54	1588	0.44393	1555	1	-33.0	-0.020780856423173802
NALP1_HUMAN	5.00	4.91	85	3.14903	99	1	14.0	0.16470588235294117
PSN1_HUMAN	4.00	3.97	125	2.58835	139	1	14.0	0.112
CSEN_HUMAN	1.00	1.00	821	0.65998	930	1	109.0	0.13276492082825822
GR65_HUMAN	1.00	0.98	939	0.65262	954	1	15.0	0.01597444089456869
KPCT_HUMAN	1.00	1.00	822	0.65998	931	1	109.0	0.13260340632603407
CASP4_HUMAN	4.00	3.61	147	2.43254	151	1	4.0	0.027210884353741496
APAF_HUMAN	44.00	34.16	23	23.72572	23	1	0.0	0.0
CASP8_HUMAN	12.00	10.11	45	6.97296	46	3	1.0	0.022222222222222223
CASP9_HUMAN	75.00	62.15	9	43.07795	9	1	0.0	0.0
CAV3_HUMAN	1.00	0.99	899	0.69643	655	4	-244.0	-0.271412680756396
NOS1_HUMAN	37.00	32.47	24	23.97837	22	4	-2.0	-0.08333333333333333
CFLAR_HUMAN	6.00	4.84	90	3.39711	84	3	-6.0	-0.06666666666666667
CHP1_HUMAN	11.00	10.06	46	7.44281	44	17	-2.0	-0.043478260869565216
SL9A2_HUMAN	2.00	1.98	327	1.43556	284	17	-43.0	-0.13149847094801223
CYB5_HUMAN	1.00	0.97	1008	0.57470	1235	1	227.0	0.2251984126984127
DAXX_HUMAN	62.00	55.15	12	39.61020	12	1	0.0	0.0
HDAC2_HUMAN	2.00	1.69	475	1.26458	421	7	-54.0	-0.11368421052631579
DIAP1_HUMAN	2.00	1.46	539	1.02827	544	1	5.0	0.00927643784786642
RAC1_HUMAN	149.00	122.81	5	85.09064	5	1	0.0	0.0
DLG2_HUMAN	6.00	5.82	70	3.84887	70	3	0.0	0.0
NMDE2_HUMAN	61.00	51.08	14	34.76718	15	4	1.0	0.07142857142857142
