Node	Degree	R[0]	R[0] Rank	R[N]	R[N] Ranking	
RAC1	29.00	26.02	3	0.00981	3
WASL	3.00	2.83	158	0.00138	248
MAP2K3	11.00	9.82	23	0.00332	28
TRADD	10.00	9.00	29	0.00333	27
GNGT1	1.00	0.95	291	0.00226	97
GNAT1	1.00	0.95	292	0.00226	98
COL6A2	4.00	3.43	145	0.00171	186
COL1A1	5.00	4.46	101	0.00206	128
LPAR4	7.00	5.73	69	0.00169	191
LTB4R	9.00	7.47	44	0.00185	159
VEGFA	15.00	13.49	10	0.00572	9
MEF2A	4.00	3.53	140	0.00138	251
MAPK14	24.00	21.51	5	0.00791	5
PPP3CA	9.00	7.76	41	0.00349	26
PPP3R1	6.00	5.40	75	0.00223	103
UBC	44.00	41.51	1	0.01932	1
BRE	3.00	2.81	165	0.00179	170
CYCS	8.00	6.83	53	0.00254	64
NPBWR1	10.00	8.15	37	0.00229	93
CASR	19.00	15.74	9	0.00384	19
IL15	3.00	2.59	183	0.00154	222
IL4	6.00	5.54	72	0.00318	32
SHB	3.00	2.75	169	0.00181	166
PDGFRA	2.00	1.85	215	0.00179	168
TACR1	15.00	12.47	16	0.00290	46
TACR3	7.00	5.69	70	0.00151	227
NEFH	2.00	1.77	235	0.00114	283
NEFM	2.00	1.78	230	0.00114	282
CDC42	19.00	16.82	8	0.00594	8
LIPC	4.00	3.67	130	0.00224	100
APOB	6.00	5.50	74	0.00261	59
LIMK1	3.00	2.56	188	0.00121	268
CASP3	14.00	12.68	15	0.00454	14
IFNG	9.00	7.92	40	0.00374	20
TNFRSF1B	4.00	3.55	138	0.00172	183
EDN2	6.00	5.00	91	0.00149	231
TP53	37.00	34.57	2	0.01407	2
PAFAH1B1	4.00	3.32	148	0.00184	161
MMP14	2.00	1.65	254	0.00138	250
MMP16	1.00	0.82	379	0.00091	328
CXCR5	5.00	4.07	123	0.00143	240
C3	8.00	6.82	54	0.00248	66
CASP9	8.00	7.44	45	0.00264	57
BAX	9.00	8.38	33	0.00294	44
PRKCE	5.00	4.35	106	0.00189	152
RB1	7.00	6.55	57	0.00301	41
MAP2K6	11.00	9.86	22	0.00351	25
ESR1	21.00	18.83	6	0.00689	7
MCHR1	15.00	12.38	17	0.00312	35
HLA-A	7.00	6.00	65	0.00368	22
ERBB2	13.00	12.11	18	0.00509	12
KAT2B	8.00	7.19	49	0.00366	23
NPY2R	10.00	8.19	35	0.00245	71
P2RY2	13.00	10.68	20	0.00255	63
P2RY6	10.00	8.22	34	0.00201	136
STAT1	13.00	11.99	19	0.00449	15
VDR	10.00	8.69	31	0.00330	29
GGA3	1.00	1.00	266	0.00076	353
HS3ST3A1	2.00	1.65	256	0.00099	311
SDC1	6.00	5.09	88	0.00247	69
YWHAZ	9.00	8.04	38	0.00363	24
BAD	7.00	6.41	60	0.00237	81
NEFL	7.00	5.93	67	0.00269	53
TNF	7.00	6.38	61	0.00288	48
APOC3	3.00	2.79	166	0.00148	233
GRIN2D	5.00	4.13	117	0.00178	174
MAPK11	15.00	12.76	13	0.00455	13
RALB	2.00	1.64	258	0.00087	332
RFC1	5.00	4.75	95	0.00232	87
GRIN2C	5.00	4.12	119	0.00178	175
CTNNB1	25.00	22.53	4	0.00935	4
MUC1	7.00	6.04	63	0.00306	38
ATXN2	3.00	2.87	156	0.00222	104
TARDBP	4.00	3.58	136	0.00207	125
PRKCZ	8.00	6.99	51	0.00290	47
OPRL1	6.00	4.93	92	0.00151	228
APOE	4.00	3.75	126	0.00195	145
DAXX	5.00	4.80	94	0.00261	58
CYP3A4	5.00	4.27	111	0.00210	119
SEMA3A	6.00	5.20	82	0.00238	79
RRAS	5.00	4.31	108	0.00185	158
ARHGEF2	2.00	1.87	213	0.00113	286
TCEA1	4.00	3.64	132	0.00182	165
CTDP1	4.00	3.55	139	0.00181	167
NCOR2	5.00	4.51	100	0.00192	147
RBPJ	4.00	3.60	134	0.00213	114
UPF1	3.00	2.83	160	0.00163	213
POLD1	6.00	5.54	71	0.00310	37
PFN1	2.00	1.82	221	0.00111	292
RASGRF1	8.00	7.01	50	0.00265	55
HNRNPA1	2.00	1.76	236	0.00149	230
TNFRSF1A	14.00	12.76	14	0.00509	11
KIF2C	1.00	0.81	387	0.00073	364
VEGFC	3.00	2.69	175	0.00142	243
TGFB1	15.00	12.99	12	0.00564	10
MBP	1.00	0.93	300	0.00213	115
PLP1	1.00	0.93	301	0.00213	116
RPA4	1.00	0.98	278	0.00105	299
RPA1	2.00	1.98	201	0.00159	218
BCL2L1	10.00	9.61	24	0.00318	31
CDK8	4.00	3.50	142	0.00178	173
NR4A1	6.00	5.19	87	0.00195	143
ADRBK1	11.00	9.41	25	0.00237	80
COL14A1	4.00	3.30	149	0.00169	196
GRIN2B	6.00	5.27	80	0.00222	105
PRKCD	7.00	6.01	64	0.00236	82
CACNA1S	5.00	4.21	113	0.00281	50
RYR1	1.00	0.91	313	0.00084	336
KCNIP4	1.00	0.81	380	0.00067	385
DRD3	11.00	9.07	28	0.00254	65
RARB	5.00	4.15	116	0.00166	203
PPARD	5.00	4.12	121	0.00169	192
RAB5A	2.00	1.75	238	0.00113	287
ALS2	2.00	1.81	223	0.00111	291
NOX1	3.00	2.83	159	0.00134	256
CYBA	4.00	3.74	127	0.00193	146
BAK1	5.00	4.91	93	0.00179	169
BID	10.00	9.15	27	0.00326	30
ADRA2A	4.00	3.27	151	0.00119	270
APAF1	9.00	8.57	32	0.00291	45
MAPK13	6.00	5.02	90	0.00185	160
CCR1	7.00	5.96	66	0.00247	67
DPYSL2	3.00	2.57	187	0.00143	241
NCBP1	10.00	8.87	30	0.00413	17
SNRPG	6.00	5.35	78	0.00268	54
RFC5	4.00	3.76	125	0.00230	92
MAD2L1	2.00	1.71	243	0.00166	204
RXRG	6.00	5.20	83	0.00200	138
TAB3	2.00	1.99	198	0.00107	295
TAB1	10.00	9.19	26	0.00372	21
TACR2	9.00	7.34	48	0.00183	162
PPIA	4.00	3.68	129	0.00176	177
MAPK12	8.00	6.87	52	0.00240	77
NME4	2.00	1.69	244	0.00131	260
BLK	3.00	2.58	186	0.00140	246
ILK	6.00	5.22	81	0.00214	113
CRKL	1.00	0.93	299	0.00112	289
NOX4	1.00	0.91	311	0.00078	351
DAZL	1.00	0.96	285	0.00231	89
PUM2	1.00	0.96	284	0.00231	88
GRK5	8.00	6.71	55	0.00167	199
BDKRB1	9.00	7.37	47	0.00199	139
CSTF3	5.00	4.13	118	0.00205	132
SSTR5	7.00	5.87	68	0.00172	182
KLF4	4.00	3.43	144	0.00162	215
SOD1	7.00	6.42	59	0.00304	39
LTA	3.00	2.71	172	0.00170	187
RBFOX1	1.00	0.97	282	0.00100	306
HTR2B	10.00	8.16	36	0.00206	126
OSM	3.00	2.81	164	0.00150	229
CDK5R1	2.00	1.66	251	0.00106	298
BCL2	14.00	13.16	11	0.00441	16
PAX2	2.00	1.63	260	0.00129	262
GDNF	3.00	2.62	182	0.00161	217
MARK2	2.00	1.80	225	0.00116	281
RPS19	2.00	1.76	237	0.00202	135
EIF3E	2.00	1.85	214	0.00205	130
SMAD3	6.00	5.52	73	0.00247	68
POMC	21.00	18.04	7	0.00733	6
NR0B1	2.00	1.77	231	0.00092	326
GPC1	6.00	5.20	85	0.00229	94
CACNB3	3.00	2.63	181	0.00175	179
