Protein A	Protein B	Rank
ALS2_HUMAN	1433B_HUMAN	5-star
ALS2_HUMAN	RAC1_HUMAN	5-star
ALS2_HUMAN	RAB5A_HUMAN	5-star
ALS2_HUMAN	ANXA5_HUMAN	5-star
ALS2_HUMAN	CASP_HUMAN	5-star
ALS2_HUMAN	CCND2_HUMAN	5-star
ALS2_HUMAN	FCER2_HUMAN	5-star
ALS2_HUMAN	FSTL1_HUMAN	5-star
ALS2_HUMAN	GD1L1_HUMAN	5-star
ALS2_HUMAN	GP2_HUMAN	5-star
ALS2_HUMAN	IPYR_HUMAN	5-star
ALS2_HUMAN	K0652_HUMAN	5-star
ALS2_HUMAN	K1C19_HUMAN	5-star
ALS2_HUMAN	KCC1A_HUMAN	5-star
ALS2_HUMAN	MFAP3_HUMAN	5-star
ALS2_HUMAN	MIOX_HUMAN	5-star
ALS2_HUMAN	PALM_HUMAN	5-star
ALS2_HUMAN	PGTB_HUMAN	5-star
ALS2_HUMAN	PPP6_HUMAN	5-star
ALS2_HUMAN	RA51B_HUMAN	5-star
ALS2_HUMAN	SDC3_HUMAN	5-star
ALS2_HUMAN	SELPL_HUMAN	5-star
ALS2_HUMAN	SNX16_HUMAN	5-star
ALS2_HUMAN	TGM2_HUMAN	5-star
ALS2_HUMAN	TR10B_HUMAN	5-star
ALS2_HUMAN	TXND5_HUMAN	5-star
ALS2_HUMAN	WDR39_HUMAN	5-star
APAF_HUMAN	B2CL1_HUMAN	5-star
APAF_HUMAN	BCLX_HUMAN	5-star
APAF_HUMAN	CASP9_HUMAN	5-star
APAF_HUMAN	MTNB_HUMAN	5-star
APAF_HUMAN	PP1A_HUMAN	5-star
APAF_HUMAN	TRIA1_HUMAN	5-star
APAF_HUMAN	CYC_HUMAN	5-star
APAF_HUMAN	XIAP_HUMAN	5-star
APAF_HUMAN	CASP8_HUMAN	5-star
APAF_HUMAN	CASP3_HUMAN	5-star
APAF_HUMAN	CASP7_HUMAN	5-star
APAF_HUMAN	HIP1_HUMAN	5-star
APAF_HUMAN	FEM1B_HUMAN	5-star
APAF_HUMAN	HSP74_HUMAN	5-star
APAF_HUMAN	HS90A_HUMAN	5-star
APAF_HUMAN	CASP4_HUMAN	5-star
APAF_HUMAN	NALP1_HUMAN	5-star
APAF_HUMAN	HSP71_HUMAN	5-star
APAF_HUMAN	AVEN_HUMAN	5-star
APAF_HUMAN	BCL2_HUMAN	5-star
APAF_HUMAN	TOP1_HUMAN	5-star
APAF_HUMAN	UACA_HUMAN	5-star
APAF_HUMAN	B2L10_HUMAN	5-star
APAF_HUMAN	BIRC2_HUMAN	5-star
APAF_HUMAN	E2F7_HUMAN	5-star
APAF_HUMAN	TFDP1_HUMAN	5-star
APAF_HUMAN	TFDP2_HUMAN	5-star
APAF_HUMAN	BAXA_HUMAN	5-star
APAF_HUMAN	BAX_HUMAN	5-star
APAF_HUMAN	CASP6_HUMAN	5-star
APAF_HUMAN	P53_HUMAN	5-star
APAF_HUMAN	HSPB1_HUMAN	5-star
APAF_HUMAN	DBLOH_HUMAN	5-star
BAD_HUMAN	1433S_HUMAN	5-star
BAD_HUMAN	B2CL1_HUMAN	5-star
BAD_HUMAN	B2CL2_HUMAN	5-star
BAD_HUMAN	B2LA1_HUMAN	5-star
BAD_HUMAN	BCL2_HUMAN	5-star
BAD_HUMAN	BCLX_HUMAN	5-star
BAD_HUMAN	EWS_HUMAN	5-star
BAD_HUMAN	PP1A_HUMAN	5-star
BAD_HUMAN	1433E_HUMAN	5-star
BAD_HUMAN	1433G_HUMAN	5-star
BAD_HUMAN	1433B_HUMAN	5-star
BAD_HUMAN	PAK1_HUMAN	5-star
BAD_HUMAN	KS6A5_HUMAN	5-star
BAD_HUMAN	AKT1_HUMAN	5-star
BAD_HUMAN	KS6A1_HUMAN	5-star
BAD_HUMAN	BAX_HUMAN	5-star
BAD_HUMAN	BCLW_HUMAN	5-star
BAD_HUMAN	BID_HUMAN	5-star
BAD_HUMAN	CANB1_HUMAN	5-star
BAD_HUMAN	PP2BC_HUMAN	5-star
BAD_HUMAN	PIM3_HUMAN	5-star
BAD_HUMAN	KPCI_HUMAN	5-star
BAD_HUMAN	PAK7_HUMAN	5-star
BAD_HUMAN	PIM1_HUMAN	5-star
BAD_HUMAN	KS6A2_HUMAN	5-star
BAD_HUMAN	MCL1_HUMAN	5-star
BAD_HUMAN	BFL1_HUMAN	5-star
BAD_HUMAN	SUMO2_HUMAN	5-star
BAD_HUMAN	1433T_HUMAN	5-star
BAD_HUMAN	MK08_HUMAN	5-star
BAD_HUMAN	BAXA_HUMAN	5-star
BAD_HUMAN	KAP0_HUMAN	5-star
BAD_HUMAN	RAF1_HUMAN	5-star
BAD_HUMAN	HRK_HUMAN	5-star
BAD_HUMAN	MK03_HUMAN	5-star
BAD_HUMAN	1433Z_HUMAN	5-star
BAD_HUMAN	S10AA_HUMAN	5-star
BAD_HUMAN	SYUA_HUMAN	5-star
BAD_HUMAN	1433F_HUMAN	5-star
BAD_HUMAN	PIM2_HUMAN	5-star
BAD_HUMAN	B2L11_HUMAN	5-star
BAD_HUMAN	WASF1_HUMAN	5-star
BAD_HUMAN	MP2K5_HUMAN	5-star
BAD_HUMAN	TERA_HUMAN	5-star
BAD_HUMAN	KAPCA_HUMAN	5-star
BAD_HUMAN	MK09_HUMAN	5-star
BAD_HUMAN	PRDX2_HUMAN	5-star
BAD_HUMAN	CDN1A_HUMAN	5-star
BAD_HUMAN	PP2BA_HUMAN	5-star
BAD_HUMAN	NAF1_HUMAN	5-star
BAD_HUMAN	CANB2_HUMAN	5-star
BAD_HUMAN	CHP1_HUMAN	5-star
BAD_HUMAN	CHP2_HUMAN	5-star
BAD_HUMAN	KAP1_HUMAN	5-star
BAD_HUMAN	PRKX_HUMAN	5-star
BAD_HUMAN	NGF_HUMAN	5-star
BAD_HUMAN	KS6A3_HUMAN	5-star
BAD_HUMAN	MK01_HUMAN	5-star
BAD_HUMAN	TNR16_HUMAN	5-star
BAD_HUMAN	B2L10_HUMAN	5-star
BAD_HUMAN	BBC3B_HUMAN	5-star
BAD_HUMAN	BBC3_HUMAN	5-star
BAX_HUMAN	1433T_HUMAN	5-star
BAX_HUMAN	B2CL1_HUMAN	5-star
BAX_HUMAN	B2CL2_HUMAN	5-star
BAX_HUMAN	B2L10_HUMAN	5-star
BAX_HUMAN	B2L11_HUMAN	5-star
BAX_HUMAN	BAK_HUMAN	5-star
